PC1_3d,PC2_3d,PC3_3d,cluster
-14250.500024928762,-0.7253096996481108,-2.5209862661121787,1
-14249.500024955798,-0.689837106042624,-2.5305168833093896,1
-14248.500022964234,-1.1314285098702717,-1.2376254391597037,1
-14247.500031264713,-1.1397028992890068,-1.2972712482320867,1
-14246.5000156573,-1.1413873414917133,-1.3111078693418072,1
-14245.500018512133,-1.3030588903423506,-1.2916274458336923,1
-14244.500024922341,-1.3323664105419992,-1.3242065301104406,1
-14243.500019563364,-1.2019435387945898,-1.2948102736832292,1
-14242.500000983922,-1.2364555299487718,-0.9608853830597217,1
-14241.499992944598,-1.2927700257836847,-1.000345341701307,1
-14240.499948922832,-1.5172008133438153,-0.11302273581466718,1
-14239.499992686064,-1.150212832994825,-1.0009603695912697,1
-14238.499933161742,-1.5132006790882162,0.05491849027156966,1
-14237.500005858887,-1.1529094353608111,-1.2908344109850096,1
-14236.499941651413,-0.9434149299144928,-0.9296329815763212,1
-14235.499966348207,-1.1797893024149848,-0.6924902628341837,1
-14234.500015036172,-1.115365276931795,-1.347631773318353,1
-14233.49998657572,-1.2692270177535085,-1.2509580812565435,1
-14232.499992211897,-1.2993582630479314,-1.1291224507616517,1
-14231.50000221592,-1.2465303471445883,-1.2074110720622104,1
-14230.50000251499,-1.2414976644804876,-1.2267911961651072,1
-14229.500005989423,-1.1655017179594602,-1.3613927812617581,1
-14228.500012289676,-1.2463718970569546,-1.4255597759691958,1
-14227.500032492278,-1.153902527163407,-1.7095588286734433,1
-14226.50001810155,-1.184643341807223,-1.7143924689897319,1
-14225.50004598679,-1.0863181085222053,-1.8984418223712296,1
-14224.500036253672,-1.2295847952156467,-1.9290595529526433,1
-14223.50005128104,-1.0715495086946227,-2.2474772479544827,1
-14222.500056030474,-1.027915574319377,-2.3662568001944413,1
-14221.50006045307,-0.958882903946624,-2.4951104757305353,1
-14220.499822261334,0.7520161986164944,-0.2896276896101324,1
-14219.500079092311,-0.6484508433894905,-2.8339074484771403,1
-14218.50007433243,-0.5550690178982682,-2.8734887305962484,1
-14217.50007234838,-0.4999095830690887,-2.989957827496042,1
-14216.50007259081,-0.5518323108056155,-2.9792528248732038,1
-14215.5000732793,-0.553219105310011,-2.9467844129994014,1
-14214.500071471868,-0.4880409161580929,-2.9765710141897803,1
-14213.500070179056,-0.3099364884525803,-3.1183301159121894,1
-14212.5000750435,-0.17965212507392647,-3.1233449115925147,1
-14211.500071000237,-0.13807724351882852,-3.138451843478713,1
-14210.500054287373,-0.3729302436146275,-2.845978811886474,1
-14209.500052668418,-0.2909553956468284,-2.840183694363162,1
-14208.500039377377,-0.26851779876361986,-2.6121888325791103,1
-14207.500018197587,-0.5604704340119936,-2.4568819350021567,1
